region,household_size,household_income,electricity_use,electricity_cost,ng_use,ng_cost,total_energy_use,total_energy_cost
SOUTH,4,16,126027.41,3087.48,7.30,235.41,126772.48,3322.89
WEST,1,6,17224.01,519.90,370.23,262.69,51876.17,782.59
SOUTH,1,5,21737.32,883.52,0.00,0.00,21737.32,883.52
WEST,3,16,69721.07,2835.18,350.90,483.24,102477.55,3318.42
SOUTH,2,15,62992.05,1773.02,0.00,0.00,62992.05,1773.02
WEST,5,13,25077.83,1741.39,313.16,404.50,57338.59,2145.89
WEST,2,3,18046.88,959.54,326.87,555.72,51724.35,1515.26
NE,3,15,29924.25,1629.62,0.00,0.00,114169.27,3128.63
NE,3,14,15216.73,966.39,0.00,0.00,36712.96,1527.36
MIDWEST,2,13,31763.82,1511.30,726.74,504.81,105695.00,2016.11
SOUTH,4,16,68760.52,2375.08,656.55,921.55,136424.61,3296.63
NE,2,16,15039.96,785.86,327.85,425.81,48160.67,1211.67
WEST,2,11,23675.42,797.33,1095.27,888.20,120149.24,1685.53
SOUTH,2,11,12965.93,605.07,0.00,0.00,12965.93,605.07
SOUTH,5,8,37490.58,1161.22,0.00,0.00,37490.58,1161.22
WEST,2,11,19426.60,570.24,321.15,299.80,48061.21,870.04
NE,5,6,14525.70,872.35,0.00,0.00,81307.80,2075.15
SOUTH,1,9,31016.35,945.90,0.00,0.00,42791.97,1200.59
SOUTH,2,15,26144.78,815.13,303.30,365.32,56943.02,1180.45
SOUTH,3,14,41156.42,1340.64,0.00,0.00,41156.42,1340.64
MIDWEST,4,15,30334.92,1258.75,773.64,579.78,109910.17,1838.53
SOUTH,3,16,62540.66,1839.77,376.33,473.16,100443.72,2312.93
WEST,4,7,25368.58,1643.78,1111.31,1299.87,134146.20,2943.65
WEST,1,8,19098.23,588.24,82.03,217.39,27853.53,805.63
WEST,5,11,111019.87,4102.25,0.00,0.00,275647.60,6675.73
NE,6,1,52174.14,2788.02,852.55,1243.34,137836.67,4031.36
SOUTH,3,11,39845.81,1414.81,0.00,0.00,39845.81,1414.81
WEST,2,6,16133.16,601.63,476.64,360.74,59452.42,962.37
MIDWEST,4,15,62914.28,2426.54,178.36,178.38,120931.82,3152.39
WEST,2,15,21572.61,1822.23,11.11,50.38,22627.18,1872.61
WEST,2,12,40944.29,1482.21,774.01,750.31,115598.83,2232.52
NE,1,12,9355.70,534.20,894.20,978.61,102130.54,1512.81
SOUTH,4,7,56274.44,1585.10,0.00,0.00,56274.44,1585.10
MIDWEST,2,14,31344.71,1271.07,0.00,0.00,31344.71,1271.07
NE,4,16,82435.72,4372.79,707.66,654.48,155700.12,5027.27
NE,4,4,18128.99,1288.62,545.59,856.50,74138.28,2145.12
SOUTH,2,12,53426.32,1722.23,0.00,0.00,57951.26,1854.19
WEST,3,1,86936.96,2676.87,0.00,0.00,86936.96,2676.87
MIDWEST,4,8,31949.47,1232.89,1167.22,911.92,151382.48,2144.81
WEST,1,13,51905.94,1754.61,675.05,576.80,112958.18,2331.41
SOUTH,2,6,74062.27,1982.29,0.00,0.00,99422.33,2587.21
SOUTH,4,15,45767.52,1744.94,0.00,0.00,45767.52,1744.94
NE,6,16,37344.50,1997.24,803.60,719.41,120719.94,2716.65
SOUTH,2,11,15518.10,517.84,1830.74,2079.59,200389.81,2597.43
WEST,2,13,24395.62,968.19,343.98,318.59,54492.33,1286.78
SOUTH,3,15,73370.04,2573.00,7.74,11.19,74181.90,2584.19
WEST,4,10,38835.86,1522.22,28.45,43.43,41652.01,1565.65
MIDWEST,2,12,23673.05,1139.01,871.16,658.84,111764.23,1797.85
WEST,2,15,24652.65,1288.54,0.00,0.00,24652.65,1288.54
MIDWEST,2,16,64608.40,1752.47,1253.49,790.88,193159.71,2543.35
WEST,2,6,16785.79,1448.48,0.00,0.00,16785.79,1448.48
SOUTH,3,16,65987.52,2155.57,646.04,680.19,131503.53,2835.76
MIDWEST,4,12,47344.15,1587.27,0.00,0.00,47344.15,1587.27
NE,4,13,55198.24,3155.76,1031.37,842.19,161977.35,3997.95
SOUTH,2,16,49275.95,1454.22,449.60,514.67,94498.23,1968.89
NE,1,12,10344.43,692.66,0.00,0.00,133729.27,2737.62
MIDWEST,3,14,55184.86,2320.19,0.00,0.00,55184.86,2320.19
SOUTH,4,14,89650.11,2406.63,0.00,0.00,89650.11,2406.63
NE,1,3,9927.23,560.78,94.02,171.45,19689.37,732.23
SOUTH,2,14,60768.84,1866.40,0.00,0.00,60768.84,1866.40
NE,4,15,25448.19,1988.50,18.94,36.44,62878.28,2786.94
WEST,1,4,23957.81,854.00,134.97,194.15,37913.49,1048.15
MIDWEST,5,12,78522.24,4037.79,1120.84,751.11,194514.29,4788.90
SOUTH,2,6,18954.16,745.63,0.00,0.00,18954.16,745.63
WEST,1,15,13695.00,492.22,1293.78,931.66,123771.22,1423.88
SOUTH,1,15,27080.84,930.36,318.40,407.85,59586.05,1338.21
NE,2,6,19053.28,846.12,0.00,0.00,82634.94,2045.80
WEST,4,16,47563.97,1908.60,1423.20,1405.43,194570.52,3314.03
MIDWEST,3,15,65895.92,1971.73,662.66,515.19,133075.64,2486.92
SOUTH,3,14,76191.81,2564.18,0.00,0.00,76191.81,2564.18
NE,2,9,10535.21,712.31,347.97,522.47,46337.82,1234.78
SOUTH,7,16,114014.97,2998.83,0.00,0.00,167850.14,4163.20
NE,3,13,13912.93,452.35,812.16,686.15,95653.28,1138.50
WEST,2,16,23691.75,953.34,1018.30,705.47,115721.27,1658.81
NE,2,14,21154.06,1366.62,587.38,982.18,81585.06,2348.80
SOUTH,7,13,54710.29,2183.11,0.00,0.00,54710.29,2183.11
SOUTH,3,15,23959.74,779.09,118.60,404.60,36110.81,1183.69
MIDWEST,1,11,23570.72,1154.77,471.95,596.55,70453.88,1751.32
NE,2,10,50553.09,1629.42,0.00,0.00,134432.10,3403.50
MIDWEST,2,7,18720.25,609.68,142.64,165.47,33579.21,775.15
NE,1,6,25182.36,1432.71,0.00,0.00,25182.36,1432.71
MIDWEST,3,15,39219.41,1603.17,1000.42,807.77,141853.76,2410.94
WEST,2,16,39213.36,1308.18,0.00,0.00,39213.36,1308.18
SOUTH,1,12,28837.36,987.33,639.53,601.58,91893.84,1588.91
MIDWEST,4,14,37983.11,1354.78,610.43,619.62,101164.45,1974.40
SOUTH,3,11,35816.32,1086.72,0.00,0.00,35816.32,1086.72
SOUTH,1,14,36152.95,1208.00,237.86,394.03,60589.75,1602.03
MIDWEST,2,16,20114.99,1024.85,1124.58,887.60,134677.93,1912.45
MIDWEST,1,13,27453.16,1065.55,656.44,679.31,94631.71,1744.86
SOUTH,2,12,70827.14,2118.04,0.00,0.00,71391.37,2131.36
MIDWEST,5,14,47345.02,1256.25,615.70,358.51,111008.03,1614.76
MIDWEST,7,13,59095.67,2744.93,966.92,798.16,158746.07,3543.09
NE,3,5,18773.83,919.40,438.17,637.34,63786.42,1556.74
WEST,7,16,62812.32,1940.27,90.43,458.71,71096.30,2398.98
MIDWEST,1,16,47050.16,1786.28,217.84,216.67,69576.77,2002.95
MIDWEST,2,15,7594.53,410.12,0.00,0.00,7594.53,410.12
WEST,2,12,37949.16,1406.75,0.00,0.00,37949.16,1406.75
SOUTH,2,15,41519.82,1481.28,849.18,1101.81,129484.51,2583.09
WEST,2,14,78242.65,2038.03,42.46,99.73,82321.91,2137.76
SOUTH,5,14,115135.39,3972.04,185.87,231.69,134086.08,4203.73
MIDWEST,2,14,35212.09,1229.22,0.00,0.00,88792.87,2631.31
WEST,2,13,70258.98,2009.52,104.76,58.72,127688.64,2802.21
SOUTH,5,11,47248.03,1557.25,0.00,0.00,47248.03,1557.25
WEST,2,13,10519.18,447.53,1000.76,892.74,98519.18,1338.94
SOUTH,2,15,81402.39,2721.46,0.00,0.00,81402.39,2721.46
SOUTH,2,7,45931.50,1177.80,11.27,10.82,47051.80,1188.62
SOUTH,4,11,100126.27,2001.26,0.00,0.00,100126.27,2001.26
MIDWEST,1,13,20397.56,785.53,283.47,376.29,49395.84,1161.82
WEST,7,9,26422.58,2575.84,0.00,0.00,26422.58,2575.84
SOUTH,2,8,17296.15,855.32,0.00,0.00,27418.13,1123.73
NE,2,13,16990.06,947.45,0.00,0.00,81996.78,2180.86
NE,2,15,4267.90,502.25,33.12,87.78,7686.29,590.03
MIDWEST,3,13,72699.82,1909.35,0.00,0.00,72699.82,1909.35
MIDWEST,1,12,11395.99,459.99,55.72,315.19,16994.87,775.18
NE,1,13,6065.27,318.00,22.93,22.10,8445.49,340.10
NE,6,16,45985.34,2881.31,1136.92,1627.16,163303.71,4508.47
SOUTH,1,6,6649.07,326.49,0.00,0.00,6649.07,326.49
NE,2,1,21022.95,1418.24,0.00,0.00,92102.96,2612.05
NE,1,15,24007.98,1335.91,418.89,668.73,66730.97,2004.64
WEST,2,11,11034.08,549.63,253.85,296.19,37145.37,845.82
SOUTH,3,14,20207.89,699.68,293.10,473.09,49809.16,1172.77
SOUTH,3,14,57778.40,3378.67,0.00,0.00,57778.40,3378.67
MIDWEST,3,16,41155.01,1669.10,1231.91,779.70,165812.92,2448.80
WEST,7,13,37517.52,1614.77,355.12,190.05,66881.88,1804.82
SOUTH,1,4,32081.47,875.48,0.00,0.00,37112.64,984.30
SOUTH,2,9,35558.87,1505.82,403.29,485.72,77245.52,1991.54
MIDWEST,2,13,43615.61,1287.15,0.00,0.00,43615.61,1287.15
SOUTH,2,11,50251.43,1680.01,0.00,0.00,50251.43,1680.01
NE,2,8,21378.17,783.73,474.90,454.47,69724.13,1238.20
NE,2,15,25027.15,1067.49,841.10,751.61,110816.55,1819.10
WEST,3,15,15797.21,1062.64,913.01,1103.32,105218.29,2165.96
WEST,2,13,10552.75,341.62,718.97,704.98,82716.72,1046.60
WEST,4,14,26402.40,963.40,799.51,459.36,94270.00,1422.76
WEST,6,13,22086.24,890.04,629.96,871.59,86004.73,1761.63
NE,1,14,30326.77,1197.65,525.34,507.36,84709.65,1705.01
SOUTH,3,12,44938.89,1405.60,0.00,0.00,44938.89,1405.60
MIDWEST,1,14,71380.80,2506.69,0.00,0.00,71380.80,2506.69
WEST,4,14,37218.28,2300.10,1084.74,1271.02,142440.97,3571.12
NE,3,15,16166.79,951.79,1174.85,1571.88,136336.62,2523.67
SOUTH,2,8,41962.85,1612.03,0.00,0.00,41962.85,1612.03
WEST,4,16,45029.65,1514.76,1081.38,927.03,135349.00,2441.79
NE,4,14,19478.41,1088.46,0.00,0.00,91750.95,2112.55
NE,1,12,21679.67,1434.17,0.00,0.00,82120.89,2478.79
WEST,6,13,120669.52,1000.82,280.17,371.48,147979.56,1372.30
SOUTH,2,16,164814.72,5688.41,0.00,0.00,213090.57,7489.34
MIDWEST,4,12,30998.79,1170.25,667.64,664.00,99901.79,1834.25
SOUTH,2,16,81700.30,2832.43,0.00,0.00,81700.30,2832.43
SOUTH,2,15,62124.61,2061.09,0.00,0.00,62124.61,2061.09
WEST,2,15,11023.70,716.40,147.79,221.11,25883.88,937.51
SOUTH,2,6,32895.86,1178.57,71.00,160.27,40088.85,1338.84
MIDWEST,2,16,17159.27,652.60,2388.29,1709.16,261768.36,2361.76
WEST,3,11,33336.48,1121.89,0.00,0.00,33336.48,1121.89
MIDWEST,3,13,48391.94,1642.29,812.81,670.63,128053.56,2312.92
WEST,5,3,12084.18,838.19,0.00,0.00,12084.18,838.19
SOUTH,2,7,28741.54,917.67,0.00,0.00,28741.54,917.67
NE,4,7,13203.73,915.82,387.64,779.39,52734.38,1695.21
MIDWEST,3,12,65144.47,2978.88,0.00,0.00,65144.47,2978.88
NE,2,13,14673.06,775.71,720.30,648.84,84672.67,1424.55
WEST,1,13,19253.46,600.80,1017.72,1179.56,128554.53,1780.36
MIDWEST,1,5,15874.00,919.90,0.00,0.00,23499.76,1052.74
WEST,1,8,19181.13,560.74,589.37,562.48,74696.94,1123.22
SOUTH,2,9,21495.01,737.82,138.91,130.13,35313.78,867.95
WEST,4,2,33754.82,885.09,479.05,455.13,75752.43,1340.22
SOUTH,3,5,51890.48,1923.09,0.00,0.00,104350.88,3027.81
NE,2,11,28976.20,2267.51,0.00,0.00,45210.25,2779.45
WEST,5,16,33248.21,1200.74,870.20,769.19,110840.38,1969.93
MIDWEST,3,13,45462.74,1417.34,499.00,548.97,96343.04,1966.31
WEST,1,13,20371.03,552.17,0.00,0.00,20371.03,552.17
WEST,3,15,9221.95,897.01,1275.45,1443.56,134214.38,2340.57
WEST,1,11,12562.74,808.56,0.00,0.00,52775.42,1989.19
WEST,1,6,9728.73,459.13,288.26,504.56,39410.54,963.69
WEST,1,12,9203.97,310.76,359.43,247.67,45115.21,558.43
MIDWEST,1,6,31495.92,1192.91,0.00,0.00,31495.92,1192.91
WEST,1,8,24032.86,979.40,0.00,0.00,24032.86,979.40
WEST,4,2,7960.17,285.73,152.21,178.13,23668.37,463.86
NE,2,11,24882.49,1281.57,0.00,0.00,30354.65,1422.61
NE,4,16,30300.18,1190.67,1655.15,1351.84,199978.99,2542.51
MIDWEST,2,7,31083.15,2426.20,1614.68,1239.85,196201.44,3666.05
WEST,1,12,16530.51,513.37,458.37,571.76,56416.08,1085.13
MIDWEST,5,2,10408.43,408.28,438.72,336.26,54659.97,744.54
SOUTH,2,5,23726.91,1087.17,367.00,593.60,61046.96,1680.77
NE,1,7,14676.81,965.37,638.35,603.30,77208.17,1568.67
NE,5,15,164460.41,4838.24,0.00,0.00,165186.62,4853.78
MIDWEST,1,1,62439.58,1867.91,0.00,0.00,62439.58,1867.91
SOUTH,1,1,46998.71,1308.24,209.83,289.03,68416.96,1597.27
MIDWEST,3,14,36526.21,1682.03,473.01,478.10,85002.02,2160.13
SOUTH,2,15,33463.39,1119.35,553.72,609.40,89583.78,1728.75
WEST,3,15,93041.35,3637.71,658.92,915.83,151972.40,4553.54
WEST,4,14,20944.20,1372.05,1593.42,1784.32,174539.39,3156.37
SOUTH,3,7,94504.58,3351.17,0.00,0.00,94504.58,3351.17
WEST,2,16,12654.79,745.95,207.39,305.52,33428.13,1051.47
SOUTH,2,15,5337.04,370.21,2245.69,2115.90,239762.48,2486.11
WEST,4,16,63761.05,2379.10,501.10,681.29,113013.44,3060.39
MIDWEST,6,12,58160.41,1874.60,1107.86,738.13,170151.26,2612.73
WEST,1,1,14380.70,574.87,386.94,378.01,54635.46,952.88
SOUTH,5,15,52077.30,1720.82,574.53,653.50,110482.52,2374.32
SOUTH,1,13,30457.66,853.36,660.86,744.82,97576.01,1597.21
NE,3,16,53677.89,2172.61,1170.85,1207.59,173122.85,3380.20
SOUTH,2,12,89380.60,2886.90,0.00,0.00,104098.26,3205.22
MIDWEST,2,12,67637.97,2328.29,0.00,0.00,222043.98,4423.28
SOUTH,1,11,68860.93,2009.43,0.00,0.00,68860.93,2009.43
SOUTH,2,16,47586.02,1341.22,0.00,0.00,47586.02,1341.22
SOUTH,2,16,23529.93,827.54,163.14,312.00,40338.47,1139.54
MIDWEST,3,10,32375.73,1482.05,941.99,750.74,129418.68,2232.79
WEST,1,9,17753.13,543.42,0.00,0.00,36845.65,1103.97
WEST,5,12,21597.32,1041.90,248.91,328.37,46705.75,1370.27
MIDWEST,2,14,30036.73,1063.91,658.21,761.74,96127.52,1825.65
SOUTH,6,14,66319.44,2116.52,0.00,0.00,89112.82,2570.02
MIDWEST,2,8,13353.32,572.29,225.79,256.67,36231.24,828.96
SOUTH,2,10,66544.44,1808.64,0.00,0.00,66544.44,1808.64
WEST,4,15,15752.83,684.14,396.36,395.89,56968.06,1080.03
MIDWEST,2,1,20198.15,1132.34,406.14,420.97,62493.55,1553.31
NE,3,15,39292.10,1597.00,728.67,786.25,114258.30,2383.25
WEST,7,16,63406.89,1765.82,1491.87,1322.17,188908.78,3087.99
SOUTH,3,15,44364.31,1969.72,898.60,1182.94,135475.09,3152.66
NE,3,13,39888.86,3053.41,2845.50,3579.48,333480.75,6632.89
SOUTH,5,4,20503.63,753.47,0.00,0.00,20503.63,753.47
SOUTH,4,15,58157.62,1747.45,0.00,0.00,58671.39,1758.56
SOUTH,2,16,105231.40,3521.21,0.00,0.00,105231.40,3521.21
MIDWEST,2,13,24180.54,815.05,233.79,316.65,47686.38,1131.70
NE,2,16,26866.92,1220.01,1318.56,1685.90,158573.04,2905.91
NE,1,13,37548.15,2110.09,0.00,0.00,37548.15,2110.09
MIDWEST,1,7,42003.17,1213.37,0.00,0.00,42003.17,1213.37
SOUTH,2,11,46367.77,1437.42,0.00,0.00,46367.77,1437.42
SOUTH,3,14,40148.55,1150.10,0.00,0.00,40148.55,1150.10
NE,1,13,13558.20,822.26,346.59,504.12,49509.38,1326.38
NE,1,16,17255.09,733.44,1049.42,807.76,123316.05,1541.20
SOUTH,3,11,41586.44,1862.18,628.36,1085.44,104246.78,2947.62
SOUTH,3,13,20656.52,765.30,531.72,552.46,74418.90,1317.76
MIDWEST,2,14,20723.70,723.44,967.16,811.29,120323.68,1534.73
NE,2,14,24703.02,668.63,526.02,904.86,79259.03,1573.49
WEST,1,13,24749.74,956.67,379.61,454.55,60669.17,1411.22
NE,3,12,22602.70,831.34,535.57,796.23,76133.75,1627.57
WEST,2,13,25627.50,723.51,0.00,0.00,86850.26,1744.83
WEST,7,14,23510.78,1903.52,469.81,798.74,71956.20,2702.26
SOUTH,2,8,62205.21,2044.01,0.00,0.00,62205.21,2044.01
SOUTH,1,14,38810.72,1381.82,0.00,0.00,38810.72,1381.82
SOUTH,3,15,77349.58,2678.63,465.08,523.85,123894.90,3202.48
SOUTH,1,15,21936.69,689.60,0.00,0.00,21936.69,689.60
NE,2,10,13642.20,696.65,0.00,0.00,85411.22,2691.66
NE,1,6,36140.22,1261.62,580.06,549.89,94398.81,1811.51
SOUTH,1,4,20745.65,746.54,282.17,461.51,49810.78,1208.05
SOUTH,7,1,40528.84,1559.15,1123.70,1284.70,155824.97,2843.85
WEST,2,14,28099.79,786.54,704.63,721.62,98995.06,1508.16
WEST,3,15,28209.42,1375.34,319.63,527.35,61192.14,1902.69
MIDWEST,4,1,51398.12,1429.90,911.28,615.44,144419.56,2045.34
SOUTH,1,6,44124.89,1592.83,0.00,0.00,49851.49,1760.47
MIDWEST,3,13,40251.77,1335.98,953.97,617.70,137080.09,1953.68
MIDWEST,2,16,38587.64,1486.84,1182.58,717.84,157898.76,2204.68
WEST,1,13,38632.74,1204.75,0.00,0.00,38632.74,1204.75
NE,2,10,16019.72,1352.06,308.94,1157.01,47884.49,2509.07
WEST,4,14,23107.79,616.49,609.67,607.46,86971.43,1223.95
NE,2,13,26512.59,1076.54,626.24,732.76,90581.95,1809.30
MIDWEST,1,13,24749.72,842.85,805.96,967.75,107590.57,1810.60
WEST,2,16,28550.71,910.05,958.47,1121.44,131684.60,2031.49
MIDWEST,2,14,36463.91,1049.90,835.90,662.00,120562.00,1711.90
MIDWEST,2,1,37300.99,1208.63,0.00,0.00,37300.99,1208.63
NE,1,13,10072.69,552.15,26.82,38.44,54955.06,1269.21
MIDWEST,3,13,31319.45,1215.82,385.04,530.83,70532.83,1746.65
NE,2,14,40627.45,1692.48,367.17,476.12,78712.70,2168.60
SOUTH,2,16,60165.95,1800.23,735.84,810.00,135166.24,2610.23
NE,7,14,42330.68,1376.28,1307.00,1272.69,173046.34,2648.97
NE,1,7,7665.08,470.73,0.00,0.00,7665.08,470.73
SOUTH,1,14,22377.70,874.06,281.92,200.86,50912.65,1074.92
NE,2,15,68802.85,4051.06,1380.74,1735.21,209642.01,5786.27
SOUTH,2,8,11589.73,456.50,0.00,0.00,11589.73,456.50
NE,1,11,14958.54,516.10,290.77,419.43,44472.08,935.53
MIDWEST,3,8,23537.09,1192.42,0.00,0.00,61824.01,1846.76
MIDWEST,2,11,23669.53,805.43,750.37,472.63,101937.17,1277.81
SOUTH,7,1,20060.70,724.40,699.13,711.92,81892.81,1436.32
SOUTH,2,16,70622.99,1870.60,508.12,513.99,122409.94,2384.59
SOUTH,2,2,45474.20,1911.59,0.00,0.00,60380.16,2310.24
NE,2,12,21144.90,1124.85,763.36,676.56,100138.47,1801.41
MIDWEST,3,14,82939.20,3128.20,0.00,0.00,82939.20,3128.20
SOUTH,2,14,45341.48,1458.09,0.00,0.00,45341.48,1458.09
SOUTH,1,12,28455.11,945.87,0.00,0.00,28455.11,945.87
MIDWEST,1,6,20947.35,791.07,0.00,0.00,20947.35,791.07
WEST,2,16,32214.85,1095.47,216.85,382.74,55617.54,1478.21
MIDWEST,2,14,35690.98,1455.12,1252.98,889.49,162308.43,2344.61
WEST,3,10,19597.80,630.86,180.96,166.42,56711.39,1146.75
NE,1,8,8434.14,410.08,255.46,385.76,34504.13,795.84
WEST,6,16,46779.63,1349.50,0.00,0.00,46779.63,1349.50
WEST,1,12,41612.43,1509.71,394.52,450.24,78307.34,1959.95
SOUTH,1,10,33401.73,1086.12,0.00,0.00,33401.73,1086.12
WEST,4,6,11179.01,495.32,33.67,52.93,14640.33,548.25
SOUTH,3,16,49397.74,1819.68,538.37,796.22,105718.44,2615.90
SOUTH,1,16,28455.48,299.40,542.64,714.17,83860.37,1013.57
NE,2,12,33936.71,1430.39,0.00,0.00,83418.50,2251.08
WEST,2,8,21265.77,786.47,199.98,243.57,41658.63,1030.04
MIDWEST,2,16,39978.68,1574.29,0.00,0.00,73168.06,2160.90
MIDWEST,2,11,25723.93,1367.28,973.53,807.35,126543.77,2174.63
MIDWEST,4,14,33272.67,1134.40,706.05,670.03,105465.52,1804.43
SOUTH,3,15,56493.54,2103.44,0.00,0.00,56493.54,2103.44
WEST,7,12,36526.73,1356.34,597.97,512.04,89740.96,1868.38
MIDWEST,1,10,17692.43,716.65,685.52,737.30,88162.82,1453.95
MIDWEST,1,7,31067.62,799.39,0.00,0.00,31067.62,799.39
WEST,7,16,30421.40,1100.27,933.87,793.06,113812.32,1893.33
SOUTH,2,13,48709.96,1557.22,335.46,520.95,82388.22,2078.17
SOUTH,2,14,47704.44,1483.53,425.11,388.84,89996.70,1872.37
MIDWEST,1,14,19210.59,698.89,0.00,0.00,19210.59,698.89
MIDWEST,4,13,51113.42,1356.27,506.99,298.67,103705.03,1654.94
SOUTH,2,15,48787.12,1707.06,417.90,546.26,91697.62,2253.32
WEST,2,16,37467.92,1101.01,1037.24,1023.75,135182.55,2124.76
WEST,3,14,58101.15,2042.04,353.54,440.00,92512.97,2482.04
SOUTH,2,11,81486.92,2480.67,0.00,0.00,81486.92,2480.67
WEST,2,13,40327.53,1337.98,0.00,0.00,40327.53,1337.98
MIDWEST,2,9,24060.95,860.29,22.62,16.87,26343.98,877.16
NE,3,15,44721.14,1853.11,1066.12,1030.42,155332.93,2883.53
MIDWEST,5,6,49557.10,1696.34,940.69,754.68,146999.02,2451.02
WEST,6,15,22833.15,1357.45,411.33,549.33,64429.60,1906.78
SOUTH,2,15,74192.39,2517.66,137.14,400.80,88254.98,2918.46
NE,1,13,23708.78,1642.12,0.00,0.00,97214.39,2873.85
MIDWEST,1,12,13515.13,506.09,683.13,471.11,83881.11,977.20
WEST,1,14,27918.25,1053.03,557.09,568.45,80428.45,1621.48
MIDWEST,2,12,16501.98,891.98,990.49,826.00,142927.11,2149.31
MIDWEST,4,13,37885.08,1201.00,1307.96,1073.53,169064.80,2274.26
SOUTH,2,13,51434.53,1797.44,0.00,0.00,51434.53,1797.44
SOUTH,2,16,8807.22,335.82,239.68,287.09,33372.82,622.91
SOUTH,1,11,29499.82,959.24,0.00,0.00,29499.82,959.24
NE,1,7,7969.35,672.57,90.89,610.93,29955.71,1564.68
SOUTH,3,11,53182.33,1778.00,202.79,328.39,73904.74,2106.39
SOUTH,4,16,49212.78,1565.83,1039.42,698.82,152570.61,2264.65
WEST,2,12,17933.07,888.43,250.07,341.10,43561.21,1229.53
NE,2,13,26006.28,1830.36,514.98,737.19,78898.23,2567.55
SOUTH,1,12,60475.76,2259.76,0.00,0.00,60475.76,2259.76
SOUTH,1,7,16135.14,543.44,492.73,700.22,65300.13,1243.66
WEST,4,15,82784.00,3225.72,460.09,455.37,130648.42,3681.09
WEST,2,15,28374.11,1012.81,1410.89,719.58,146941.10,1732.39
SOUTH,3,15,70367.15,2097.06,0.00,0.00,70367.15,2097.06
SOUTH,2,16,86013.89,3425.94,702.97,792.05,158169.16,4217.99
SOUTH,4,16,81296.43,2725.59,609.77,1327.54,143836.65,4053.13
SOUTH,1,11,26426.73,937.10,0.00,0.00,26426.73,937.10
SOUTH,5,7,16659.73,645.90,0.00,0.00,16659.73,645.90
WEST,3,7,100647.55,2582.34,0.00,0.00,100647.55,2582.34
WEST,1,4,15080.86,318.73,186.74,222.38,35084.14,541.11
WEST,6,15,61032.63,2294.66,963.55,778.36,145821.16,3073.02
SOUTH,4,6,55185.32,1794.86,396.39,670.67,94566.55,2465.53
NE,2,13,47946.25,1734.80,0.00,0.00,81064.15,2252.15
SOUTH,2,16,30525.84,1118.86,8.68,142.68,31426.83,1261.54
SOUTH,2,15,60268.79,2010.62,0.00,0.00,60268.79,2010.62
WEST,3,9,25016.65,701.99,399.30,335.29,60960.49,1037.28
NE,1,10,9010.11,651.71,0.00,0.00,38341.38,1507.84
WEST,1,1,26413.84,1683.41,0.00,0.00,94549.17,3013.08
SOUTH,3,5,57348.45,2326.12,0.00,0.00,57348.45,2326.12
SOUTH,4,15,45707.02,1486.25,0.00,0.00,45707.02,1486.25
MIDWEST,2,16,13598.88,612.49,916.78,625.72,106236.41,1238.21
SOUTH,1,10,11354.75,409.03,87.46,205.17,20324.29,614.20
WEST,6,15,54537.42,2088.25,159.61,315.67,70368.29,2403.92
SOUTH,2,16,39111.43,1277.99,485.53,703.36,87027.09,1981.35
WEST,4,16,15045.32,532.10,958.89,873.46,94024.65,1405.56
SOUTH,1,4,65576.46,1991.02,0.00,0.00,65576.46,1991.02
NE,2,15,7615.04,442.65,417.91,370.47,50922.77,813.12
SOUTH,4,10,38889.21,1384.09,481.55,643.35,87095.11,2027.44
MIDWEST,4,7,26876.09,785.94,0.00,0.00,26876.09,785.94
NE,2,16,23736.68,1627.45,95.43,431.11,33581.72,2058.56
SOUTH,1,10,60348.13,1741.43,0.00,0.00,60348.13,1741.43
SOUTH,1,9,18342.35,665.19,500.13,513.57,69393.85,1178.76
WEST,2,14,22355.33,1395.33,257.25,464.23,48919.77,1859.56
WEST,3,11,38792.70,2621.81,173.23,204.45,56590.49,2826.26
NE,1,13,21520.87,1683.02,212.95,2355.75,43440.01,4038.77
WEST,2,13,12254.53,931.26,867.54,1026.73,97100.74,1957.99
WEST,1,16,24067.24,2122.46,112.20,510.82,34698.33,2633.28
SOUTH,3,16,60957.44,2163.50,382.88,482.43,99981.22,2645.93
WEST,3,11,58207.83,1918.83,0.00,0.00,58207.83,1918.83
SOUTH,2,6,38672.72,1422.47,6.66,11.90,39359.27,1434.37
WEST,4,1,35619.42,1187.28,0.00,0.00,35619.42,1187.28
WEST,1,6,16839.51,604.41,567.02,289.97,70546.48,894.38
MIDWEST,1,13,42157.94,2225.17,0.00,0.00,138002.49,3525.59
NE,2,14,53426.76,3556.17,0.00,0.00,108242.91,4528.02
NE,2,12,15399.71,710.59,1210.70,2005.20,140683.58,2715.79
WEST,3,13,59591.10,3423.24,0.00,0.00,59591.10,3423.24
MIDWEST,2,9,30734.68,899.88,610.27,444.94,93760.63,1344.82
SOUTH,1,8,47735.70,1555.96,0.00,0.00,47918.98,1559.92
NE,2,16,92877.25,4369.62,0.00,0.00,92877.25,4369.62
WEST,4,11,39849.27,1381.79,1007.91,887.18,146144.15,2268.97
NE,2,13,61961.91,4356.95,0.00,0.00,133083.12,5803.28
MIDWEST,1,12,7032.01,158.30,0.00,0.00,30472.89,464.73
SOUTH,2,15,73347.39,2230.94,0.00,0.00,74423.68,2259.48
MIDWEST,1,11,41903.76,1884.09,0.00,0.00,41903.76,1884.09
